1064214,9,1708303
14910,1,158
19703,3,244
7892,9,8496
295,1,1
10554,1,10
914,1,158
219062,65,1711829
1020,1,2
1168653,4,14
320,1,1
4658,2,314
142314,1,49
1176223,9,1661
31052,1,1
18474,2,223
31046,1,2
906002,65,1951986
94406,3,282
129104,7,21032
1902,1,2
1169997,1,2
19978,1,10
480107,9,378
125054,9,378
681,1,99
3270,1,153
29391,2,292
94634,1,1
112175,2,761
1154297,4,3193
34970,2,314
1039427,1,99
1163131,1,1
1170507,4,14
1173695,1,1
949655,4,7279
35837,2,185
15,1,2
489787,9,1708303
240552,2,916
13609,2,377
84835,1,104
269,1,1
55753,1,1
56367,65,263
628070,1,2
486,1,49
52550,9,208
196493,1,123
19075,1,49
1173534,65,219
42341,1,1
126207,9,5331
94617,1,1
23072,4,3193
64698,9,5331
55244,3,282
499665,9,208
11,1,2
61970,1,1
19310,2,223
962671,4,173
936370,4,284
1174862,6,762
244912,1,2
93903,9,378
1168368,4,3193
1064204,9,1708303
41417,2,185
538322,3,392
1168461,65,1711731
2706,2,1057
71790,9,1515864
545252,1,1
18345,4,183
90,1,1
902504,1,49
9,1,2
192978,1,158
245641,2,314
141,1,1
137690,7,1965294
209299,7,1965294
130570,2,761
1170683,2,628
1169971,1,151
6618,2,650
1012453,9,1017
15090,4,1517767
1071,2,223
8524,4,284
10937,4,183
17776,1,123
1117808,6,762
38446,65,219
196520,1,99
695970,1,1
57187,1,2
190402,65,458
1170610,4,906
181,1,1
1166993,4,3193
111592,65,1951986
306414,1,110
912489,6,762
544960,1,1
124317,9,5331
2786,2,1057
1173652,65,1964189
1172362,2,627
1038818,2,314
3126,1,95
16923,1,2
4459,2,650
136725,9,8496
66413,3,649
751,1,119
500083,9,208
1175636,4,14
132588,7,1965294
2147,1,2
168069,1,99
536592,1,2
18335,4,183
65550,1,158
44,1,2
80376,4,706
846403,1,2
29874,2,761
57814,9,5331
236,1,1
959,4,183
5109,1,119
1164314,1,1
5420,1,95
578,1,72
6992,1,2
538281,1,1
1164572,6,10138
1168915,7,3631
557216,2,314
1012475,9,1017
426431,2,444
139185,1,110
33,1,2
117,1,1
1174792,1,1
366931,6,1697
244564,1,1
169811,4,183
8840,1,1
1170643,1,95
1170455,2,1057
19842,2,185
273,1,1
14693,1,99
43042,2,314
289918,1,2
567,1,72
28833,4,205
165329,9,378
2302,1,2
10136,1,158
650,1,95
6075,1,110
1167397,1,1
65746,1,1
1170571,2,292
1167550,5,1957236
14141,2,627
1167094,2,314
484103,9,378
1166312,4,183
5973,1,49
1164556,1,1
861259,2,627
191226,3,282
101300,3,610
292141,2,552
346,1,1
1073098,3,282
670,1,99
27651,4,183
291225,1,2
499840,1,1
201591,65,635
12971,1,153
280,1,1
16437,6,4640
37962,7,1967003
5319,1,2
1164653,7,1965294
1169243,7,1965294
1168471,1,60
343786,2,314
919,1,158
41025,2,280
485407,9,378
65515,1,2
903763,9,378
787,1,123
82204,6,762
296104,5,1957236
287,1,1
1168450,65,1711731
964372,1,1
37295,3,282
233129,2,916
6772,2,280
668,1,99
844525,1,1
96333,1,123
165287,9,378
